1,2,13,3272,5556
2,1,25,3435,7368
3,2,16,3965,5120
4,1,26,4613,6715
5,3,26,2630,9621
6,3,2,3870,6988
7,2,15,3840,9002
8,3,25,3555,6331
9,1,1,1463,7464
10,3,6,2967,8277
11,2,15,4150,9929
12,1,27,3853,9656
13,2,3,4612,7916
14,2,26,2558,5203
15,3,10,3529,6905
16,2,30,4943,9759
17,3,8,1696,5240
18,2,27,2692,9555
19,3,15,1800,6157
20,1,30,4251,5598
21,3,28,1289,6063
22,2,21,1788,8082
23,2,19,3971,5085
24,1,21,1695,8785
25,3,6,4430,9777
26,3,25,4106,7373
27,3,25,4873,7030
28,2,26,1191,8552
29,2,10,2985,6709
30,2,15,2346,8252
31,2,24,3092,9012
32,2,16,2203,6144
33,2,13,4824,6000
34,3,20,4720,7144
35,2,13,1788,6458
36,1,25,3651,6453
37,3,29,3909,9896
38,3,24,4358,6822
39,2,28,2748,8048
40,2,20,2274,9264
41,2,30,3759,6285
42,2,20,1433,7005
43,3,17,2844,6258
44,2,14,3262,9073
45,3,15,2900,7270
46,2,2,2796,9741
47,3,30,3445,9397
48,2,29,1375,7393
49,2,15,2100,9137
50,1,16,4832,8063
51,2,9,3975,5213
52,3,15,1948,8262
53,1,2,3099,6389
54,1,5,3862,7864
55,3,24,2975,9393
56,2,8,1009,5798
57,2,17,3443,7543
58,1,19,2078,8873
59,2,10,1819,9228
60,3,21,3483,8609
